CÓDIGO;MULTIPLICADOR;NÚMERO BASE (NB);A;B;TERMINACIONES;DURACIÓN TOTAL NB;PATRÓN 1;PATRÓN 2;PATRÓN 3;DONDE EMPIEZA;;
2341;44;103004;7023;95981;341;2575100;1964099;1353098;-;9293;592202;1100199
2659;44;116996;7977;109019;659;2924900;2230901;1536902;-;69213;154301;848300
3659;44;160996;10977;150019;659;4024900;3069901;2114902;-;106220;545300;1500299
4159;44;182996;103975;79021;159;4574900;3580899;2586898;-;133212;266300;1260301
5659;44;248996;16977;232019;659;6224900;4747901;3270902;-;215211;396299;1873298
6659;44;292996;19977;273019;659;7324900;5586901;3848902;-;273218;1072298;2517301
6841;44;301004;171025;129979;841;7525100;5890101;4255102;-;150296;1402199;3338202
7159;44;314996;178975;136021;159;7874900;6163899;4452898;-;214;544298;2255299
7841;44;345004;196025;148979;841;8625100;6751101;4877102;-;23287;274199;2493202
9341;44;411004;28023;382981;341;10275100;7837099;5399098;-;289290;588202;2615199
0089;45;4005;3026;979;089;80100;63101;46102;-;3286;7202;24201
0311;45;13995;4976;9019;311;279900;214901;149902;-;11217;33298;84302
0911;45;40995;30974;10021;911;819900;645899;471898;-;29215;69299;243300
1289;45;58005;9023;48982;289;1160100;879098;656101;-;37290;1198;282200
1489;45;67005;64027;2978;489;1340100;1069102;731099;-;13296;229201;500199
1511;45;67995;64973;3022;511;1359900;1084898;741901;-;15215;95298;370300
2089;45;94005;71026;22979;089;1880100;1481101;1082102;-;10298;219198;712202
2311;45;103995;36976;67019;311;2079900;1596901;1113902;-;30204;365299;848298
2689;45;121005;43024;77981;689;2420100;1858099;1296098;-;56280;247199;809200
2711;45;121995;18977;103018;711;2439900;1848902;1379899;-;103207;27299;496302
3089;45;139005;105026;33979;089;2780100;2190101;1600102;-;52296;500201;1090200
3511;45;157995;150973;7022;511;3159900;2520898;1723901;-;151218;337301;1134298
3911;45;175995;132974;43021;911;3519900;2772899;2025898;-;47205;614300;1361301
4289;45;193005;30023;162982;289;3860100;2925098;2183101;-;8277;467200;1402202
5689;45;256005;91024;164981;689;5120100;3931099;2742098;-;5290;1086200;2275201
5711;45;256995;39977;217018;711;5139900;3894902;2906899;-;63220;417302;1662300
6089;45;274005;207026;66979;089;5480100;4317101;3154102;-;48285;316201;1479200
6311;45;283995;100976;183019;311;5679900;4360901;3041902;-;158216;322302;1641301
6689;45;301005;107024;193981;689;6020100;4622099;3224098;-;26287;200201;1598202
6911;45;310995;234974;76021;911;6219900;4899899;3579898;-;21216;325300;1645301
7489;45;337005;322027;14978;489;6740100;5377102;3677099;-;119299;868199;2568202
8089;45;364005;275026;88979;089;7280100;5735101;4190102;-;258281;978202;2523201
8311;45;373995;132976;241019;311;7479900;5742901;4005902;-;17203;1222298;2585302
8689;45;391005;139024;251981;689;7820100;6004099;4188098;-;86281;703200;2519201
9311;45;418995;148976;270019;311;8379900;6433901;4487902;-;47206;1397301;3343300
9511;45;427995;408973;19022;511;8559900;6828898;4669901;-;48220;980298;2711300
9689;45;436005;155024;280981;689;8720100;6695099;4670098;-;125278;1249202;2838198
0587;46;27002;17023;9979;587;1350100;1070101;-;-;6286;19200;299199
3413;46;156998;98977;58021;413;7849900;6221899;-;-;110205;1185300;2813301
5413;46;248998;156977;92021;413;12449900;9867899;-;-;23221;1138299;3720300
9413;46;432998;272977;160021;413;21649900;17159899;-;-;59207;3457300;7947301
9587;46;441002;278023;162979;587;22050100;17477101;-;-;390286;601200;5174199
0149;47;7003;4023;2980;149;238102;186101;-;-;4280;16200;68201
0383;47;18001;13022;4979;383;1800100;1417100;-;-;4285;6200;389200
0617;47;28999;20978;8021;617;2899900;2282900;-;-;4201;218300;835300
2383;47;112001;81022;30979;383;11200100;8817100;-;-;24282;372200;2755200
2617;47;122999;88978;34021;617;12299900;9682900;-;-;15204;1292300;3909300
2851;47;133997;76977;57020;851;4555898;3560899;-;-;126213;947301;1942300
3617;47;169999;122978;47021;617;16999900;13382900;-;-;104205;2039300;5656300
3851;47;180997;103977;77020;851;6153898;4809899;-;-;74208;1002299;2165301
5851;47;274997;157977;117020;851;9349898;7307899;-;-;212215;130301;2172300
9851;47;462997;265977;197020;851;15741898;12303899;-;-;32212;2869300;6307299
0347;49;17003;9022;7981;347;561099;451100;341101;-;8296;48201;158200
0449;49;22001;13021;8980;449;2200100;1751100;1302100;-;18287;349200;798200
0653;49;31997;16978;15019;653;1055901;848900;641899;-;9200;20301;259299
2347;49;115003;61022;53981;347;3795099;3051100;2307101;-;30299;185201;929200
2551;49;124999;73979;51020;551;12499900;9948900;7397900;-;77218;31300;2582300
3347;49;164003;87022;76981;347;5412099;4351100;3290101;-;63291;612199;1837201
3449;49;169001;100021;68980;449;16900100;13451100;10002100;-;85293;1613200;5062200
5347;49;262003;139022;122981;347;8646099;6951100;5256101;-;42294;657199;2614201
5449;49;267001;158021;108980;449;26700100;21251100;15802100;-;238284;5055200;10504200
5653;49;276997;146978;130019;653;9140901;7348900;5556899;-;119221;362300;2154301
6449;49;316001;187021;128980;449;31600100;25151100;18702100;-;56299;1017200;7466200
6551;49;320999;189979;131020;551;32099900;25548900;18997900;-;316216;6107300;12658300
6653;49;325997;172978;153019;653;10757901;8648900;6539899;-;27210;1444299;3553300
9551;49;467999;276979;191020;551;46799900;37248900;27697900;-;308210;5943300;15494300
1451;51;74001;44981;29020;451;7400100;5949100;4498100;-;3293;376200;1827200
1549;51;78999;48019;30980;549;7899900;6350900;4801900;-;35208;512300;2061300
2549;51;129999;79019;50980;549;12999900;10450900;7901900;-;124212;1429300;3978300
4451;51;227001;137981;89020;451;22700100;18249100;13798100;-;130280;4225200;8676200
4549;51;231999;141019;90980;549;23199900;18650900;14101900;-;85202;94300;4643300
6451;51;329001;199981;129020;451;32900100;26449100;19998100;-;324291;2640200;9091200
7451;51;380001;230981;149020;451;38000100;30549100;23098100;-;188286;4763200;12214200
7549;51;384999;234019;150980;549;38499900;30950900;23401900;-;345215;5365300;12914300
0173;52;8996;3979;5017;173;224900;183899;-;-;8215;33300;74301
0673;52;34996;32977;2019;673;874900;697901;-;-;23211;245301;422300
0827;52;43004;19021;23983;827;1075100;879101;-;-;39290;116201;312200
1327;52;69004;65023;3981;327;1725100;1376099;-;-;11292;100201;449202
3673;52;190996;179977;11019;673;4774900;3808901;-;-;42202;872300;1838299
4327;52;225004;212023;12981;327;5625100;4487099;-;-;175286;690199;1828200
4673;52;242996;228977;14019;673;6074900;4845901;-;-;189209;502300;1731299
5827;52;303004;134021;168983;827;7575100;6194101;-;-;26279;1477202;2858201
6173;52;320996;141979;179017;173;8024900;6561899;-;-;188214;1083299;2546300
6673;52;346996;326977;20019;673;8674900;6919901;-;-;290208;737299;2492298
6827;52;355004;157021;197983;827;8875100;7257101;-;-;208291;843202;2461201
7673;52;398996;375977;23019;673;9974900;7956901;-;-;134200;1868298;3487301
9173;52;476996;210979;266017;173;11924900;9750899;-;-;307203;206300;2380301
0151;53;8003;3020;4983;151;272102;219101;-;-;7288;24200;77201
0283;53;14999;1981;13018;283;1499900;1216900;-;-;14203;257300;540300
1151;53;61003;23020;37983;151;2074102;1670101;-;-;38293;45199;449200
1283;53;67999;8981;59018;283;6799900;5516900;-;-;18205;1256300;2539300
4283;53;226999;29981;197018;283;22699900;18416900;-;-;52209;810300;5093300
5717;53;303001;40019;262982;717;30300100;24583100;-;-;193291;1205200;6922200
5849;53;309997;116980;193017;849;10539898;8486899;-;-;45212;700300;2753299
6151;53;326003;123020;202983;151;11084102;8925101;-;-;149284;1164199;3323200
7151;53;379003;143020;235983;151;12886102;10376101;-;-;66289;867201;2998199
7283;53;385999;50981;335018;283;38599900;31316900;-;-;74213;2907300;10190300
7717;53;409001;54019;354982;717;40900100;33183100;-;-;114288;2707200;10424200
8849;53;468997;176980;292017;849;15945898;12839899;-;-;431211;1422299;4059301
9151;53;485003;183020;301983;151;16490102;13278101;-;-;112282;2107200;5319201
9283;53;491999;64981;427018;283;49199900;39916900;-;-;410215;5005300;14288300
0463;54;25002;6019;18983;463;1250100;1031101;787100;-;1291;21200;240199
3463;54;187002;45019;141983;463;9350100;7712101;5887100;-;44291;193200;1831199
4463;54;241002;58019;182983;463;12050100;9939101;7587100;-;213286;887199;3239200
7537;54;406998;97981;309017;537;20349900;16784899;12812900;-;333210;1064299;4629300
8537;54;460998;110981;350017;537;23049900;19011899;14512900;-;215217;2426300;6464301
9463;54;511002;123019;387983;463;25550100;21074101;16087100;-;310291;717200;5193199
0109;55;5995;981;5014;109;119900;96901;73902;-;3218;16298;33302
0491;55;27005;26023;982;491;540100;431098;349101;-;24289;29199;138201
0509;55;27995;26977;1018;509;559900;446902;361899;-;25210;30300;143298
0691;55;38005;29022;8983;691;760100;637102;476099;-;18290;25200;148198
0709;55;38995;21979;17016;709;779900;645899;511898;-;3211;10301;144302
1109;55;60995;9981;51014;109;1219900;985901;751902;-;27203;150302;384301
1291;55;71005;40021;30984;291;1420100;1176101;932102;-;30299;145198;460202
1709;55;93995;52979;41016;709;1879900;1556899;1233898;-;40212;57302;474298
2309;55;126995;96978;30017;309;2539900;2128898;1590901;-;98201;405298;816300
3109;55;170995;27981;143014;109;3419900;2763901;2107902;-;160206;20301;676300
3491;55;192005;185023;6982;491;3840100;3065098;2482101;-;134298;560200;1335202
3691;55;203005;155022;47983;691;4060100;3403102;2543099;-;186284;426199;1286202
3709;55;203995;114979;89016;709;4079900;3378899;2677898;-;24219;469299;1170300
4691;55;258005;197022;60983;691;5160100;4325102;3232099;-;213299;837202;1672200
5309;55;291995;222978;69017;309;5839900;4894898;3657901;-;61212;114302;1351299
6491;55;357005;344023;12982;491;7140100;5699098;4615101;-;191289;256199;1697201
6691;55;368005;281022;86983;691;7360100;6169102;4610099;-;43290;110200;1301198
6709;55;368995;207979;161016;709;7379900;6111899;4843898;-;265206;1231302;2868298
7109;55;390995;63981;327014;109;7819900;6319901;4819902;-;32203;821302;2321301
7309;55;401995;306978;95017;309;8039900;6738898;5035901;-;201216;676301;2379298
7691;55;423005;323022;99983;691;8460100;7091102;5299099;-;111288;188198;1980201
8291;55;456005;257021;198984;291;9120100;7553101;5986102;-;186298;1380202;2947201
9109;55;500995;81981;419014;109;10019900;8097901;6175902;-;287206;1799300;3721299
9491;55;522005;503023;18982;491;10440100;8333098;6748101;-;175298;1333200;3440202
0193;57;11001;5018;5983;193;1100100;907100;714100;-;2294;126200;319200
1193;57;68001;31018;36983;193;6800100;5607100;4414100;-;64290;1102200;2295200
5807;57;330999;150982;180017;807;33099900;27292900;21485900;-;314216;1545300;7352300
7193;57;410001;187018;222983;193;41000100;33807100;26614100;-;114296;3912200;11105200
8807;57;501999;228982;273017;807;50199900;41392900;32585900;-;309213;670300;9477300
0431;58;24998;21981;3017;431;1249900;1046899;-;-;10201;78299;281300
0569;58;33002;29019;3983;569;1650100;1382101;-;-;9291;231201;499200
5431;58;314998;276981;38017;431;15749900;13191899;-;-;313205;1801299;4359300
5569;58;323002;284019;38983;569;16150100;13527101;-;-;280287;152200;2775199
6569;58;381002;335019;45983;569;19050100;15956101;-;-;61288;3004200;6098199
8431;58;488998;429981;59017;431;24449900;20478899;-;-;486215;781300;4752301
9431;58;546998;480981;66017;431;27349900;22907899;-;-;157214;487299;4929300
0017;59;1003;17;986;017;34102;28101;-;-;285;200;6201
0661;59;38999;1983;37016;661;3899900;3238900;-;-;20206;320300;981300
0983;59;57997;983;57014;983;1971898;1624899;-;-;57200;109299;398301
2017;59;119003;2017;116986;017;4046102;3334101;-;-;80296;306200;1018201
2339;59;138001;7017;130984;339;13800100;11461100;-;-;120294;1182200;3521200
4339;59;256001;13017;242984;339;25600100;21261100;-;-;71289;3321200;7660200
6661;59;392999;19983;373016;661;39299900;32638900;-;-;310202;1762300;8423300
6983;59;411997;6983;405014;983;14007898;11542899;-;-;50207;1244300;3709299
8017;59;473003;8017;464986;017;16082102;13252101;-;-;383292;1754199;4584200
9661;59;569999;28983;541016;661;56999900;47338900;-;-;527200;1493300;11154300
0541;61;33001;20017;12984;541;3300100;2759100;-;-;17295;128200;669200
1459;61;88999;53983;35016;459;8899900;7440900;-;-;83206;471300;1930300
2377;61;144997;125981;19016;377;4784901;4040900;-;-;64202;33301;922299
2459;61;149999;90983;59016;459;14999900;12540900;-;-;22204;376300;2835300
3541;61;216001;131017;84984;541;21600100;18059100;-;-;120287;2574200;6115200
3623;61;221003;192019;28984;623;7293099;6159100;-;-;83292;478199;1833201
5623;61;343003;298019;44984;623;11319099;9559100;-;-;84288;1383201;3143200
7459;61;454999;275983;179016;459;45499900;38040900;-;-;276206;2260300;9719300
7541;61;460001;279017;180984;541;46000100;38459100;-;-;188298;354200;7895200
8377;61;510997;443981;67016;377;16862901;14240900;-;-;25214;1960301;5093299
8623;61;526003;457019;68984;623;17358099;14659100;-;-;517293;1457200;4156199
9377;61;571997;496981;75016;377;18875901;15940900;-;-;525205;975301;4482299
9623;61;587003;510019;76984;623;19371099;16359100;-;-;500299;375200;3387199
2371;62;147002;64017;82985;371;7350100;6238101;-;-;16288;661200;1773199
3371;62;209002;91017;117985;371;10450100;8869101;-;-;124288;1041200;2622199
8629;62;534998;232983;302015;629;26749900;22702899;-;-;441200;4160299;8207300
9371;62;581002;253017;327985;371;29050100;24655101;-;-;542299;186201;4581200
9629;62;596998;259983;337015;629;29849900;25333899;-;-;184202;4931299;9447300
0127;63;8001;1016;6985;127;800100;673100;546100;419100;6287;72200;199200
1873;63;117999;14984;103015;873;11799900;9926900;8053900;6180900;85202;1632300;3505300
4127;63;260001;33016;226985;127;26000100;21873100;17746100;13619100;138295;200200;4327200
7127;63;449001;57016;391985;127;44900100;37773100;30646100;23519100;96285;4693200;11820200
7873;63;495999;62984;433015;873;49599900;41726900;33853900;25980900;106206;720300;8593300
9127;63;575001;73016;501985;127;57500100;48373100;39246100;30119100;50289;3637200;12764200
0277;65;18005;13019;4986;277;360100;301099;-;-;13298;48200;107201
0523;65;33995;10983;23012;523;679900;588898;-;-;16207;18299;109301
0677;65;44005;23018;20987;677;880100;727098;-;-;18285;100202;209199
0877;65;57005;7016;49989;877;1140100;976101;-;-;12286;84200;248199
1123;65;72995;8984;64011;123;1459900;1249899;-;-;20202;176299;386300
1277;65;83005;60019;22986;277;1660100;1388099;-;-;1289;56200;328201
1523;65;98995;31983;67012;523;1979900;1714898;-;-;15214;120301;484298
1723;65;111995;80981;31014;723;2239900;1872901;-;-;17212;91301;458300
1877;65;122005;15016;106989;877;2440100;2089101;-;-;26296;287199;638198
2477;65;161005;52017;108988;477;3220100;2789102;-;-;79288;250201;681199
2677;65;174005;91018;82987;677;3480100;2875098;-;-;155292;131199;736201
3323;65;215995;112982;103013;323;4319900;3568902;-;-;136209;106302;857300
3677;65;239005;125018;113987;677;4780100;3949098;-;-;88284;533201;1125198
3877;65;252005;31016;220989;877;5040100;4315101;-;-;244289;310198;1035197
4523;65;293995;94983;199012;523;5879900;5092898;-;-;149213;461300;1248302
4723;65;306995;221981;85014;723;6139900;5133901;-;-;217210;420299;1426298
4877;65;317005;39016;277989;877;6340100;5428101;-;-;307299;985202;1897201
5323;65;345995;180982;165013;323;6919900;5716902;-;-;37207;1192298;2049301
5477;65;356005;115017;240988;477;7120100;6167102;-;-;301289;679202;1632200
6277;65;408005;295019;112986;277;8160100;6823099;-;-;345297;1136199;2473200
6323;65;410995;214982;196013;323;8219900;6790902;-;-;240210;594298;1612301
7477;65;486005;157017;328988;477;9720100;8419102;-;-;254292;284200;1585198
7523;65;488995;157983;331012;523;9779900;8470898;-;-;90200;940299;2249301
7723;65;501995;362981;139014;723;10039900;8394901;-;-;131213;463302;2108301
7877;65;512005;63016;448989;877;10240100;8767101;-;-;370297;1465200;2938199
8123;65;527995;64984;463011;123;10559900;9040899;-;-;349207;2006299;3525300
8677;65;564005;295018;268987;677;11280100;9319098;-;-;451290;937202;2334199
9277;65;603005;436019;166986;277;12060100;10084099;-;-;241294;37200;2013201
9323;65;605995;316982;289013;323;12119900;10012902;-;-;326211;848299;2349302
9677;65;629005;329018;299987;677;12580100;10393098;-;-;174282;1345199;3532201
0197;66;13002;12017;985;197;650100;558101;453100;361101;12294;97201;189200
2803;66;184998;170983;14015;803;9249900;7940899;6446900;5137899;150212;419300;1728301
3803;66;250998;231983;19015;803;12549900;10773899;8746900;6970899;215211;580299;2356300
5197;66;343002;317017;25985;197;17150100;14723101;11953100;9526101;59297;1613200;4040199
6197;66;409002;378017;30985;197;20450100;17556101;14253100;11359101;89298;1942201;4836200
6803;66;448998;414983;34015;803;22449900;19272899;15646900;12469899;446208;201300;3378301
8803;66;580998;536983;44015;803;29049900;24938899;20246900;16135899;49208;4424299;8535300
9803;66;646998;597983;49015;803;32349900;27771899;22546900;17968899;84207;4309300;8887301
1597;67;106999;7985;99014;597;10699900;9102900;-;-;26206;1147300;2744300
2791;67;186997;66984;120013;791;6170901;5302900;-;-;96205;749299;1617300
3209;67;215003;77016;137987;209;7095099;6097100;-;-;72298;608201;1606200
4597;67;307999;22985;285014;597;30799900;26202900;-;-;112212;590300;5187300
5209;67;349003;125016;223987;209;11517099;9897100;-;-;190284;836200;2456199
5791;67;387997;138984;249013;791;12803901;11002900;-;-;72213;402300;2203301
6791;67;454997;162984;292013;791;15014901;12902900;-;-;295204;1429301;3996299
8209;67;550003;197016;352987;209;18150099;15597100;-;-;316292;2787201;5340200
8597;67;575999;42985;533014;597;57599900;49002900;-;-;330210;72300;8669300
9209;67;617003;221016;395987;209;20361099;17497100;-;-;23298;1561201;4425200
9403;67;630001;47015;582986;403;63000100;53597100;-;-;466294;7067200;16470200
9791;67;655997;234984;421013;791;21647901;18602900;-;-;210212;768299;3813300
0103;68;7004;4017;2987;103;175100;151101;-;-;1296;15201;39200
0397;68;26996;1985;25011;397;674900;568901;-;-;21203;61300;167299
1103;68;75004;43017;31987;103;1875100;1618101;-;-;18298;92199;424202
2897;68;196996;112983;84013;897;4924900;4249899;-;-;85200;279299;954300
4397;68;298996;21985;277011;397;7474900;6300901;-;-;283210;151300;1325299
4603;68;313004;23015;289989;603;7825100;6596099;-;-;274292;136202;1052199
5897;68;400996;229983;171013;897;10024900;8650899;-;-;14211;1612298;2986299
6397;68;434996;31985;403011;397;10874900;9166901;-;-;28210;1544299;3252298
7103;68;483004;277017;205987;103;12075100;10420101;-;-;11293;1453202;3108201
7603;68;517004;38015;478989;603;12925100;10895099;-;-;27294;1312201;3342202
9103;68;619004;355017;263987;103;15475100;13354101;-;-;87297;1316202;3437201
9397;68;638996;46985;592011;397;15974900;13465901;-;-;154204;1103301;3612300
0029;69;2001;1015;986;029;200100;171100;142100;-;293;17200;46200
0971;69;66999;33985;33014;971;6699900;5728900;4757900;-;22206;521300;1492300
2029;69;140001;71015;68986;029;14000100;11971100;9942100;-;2292;1325200;3354200
2971;69;204999;103985;101014;971;20499900;17528900;14557900;-;41207;1773300;4744300
6029;69;416001;211015;204986;029;41600100;35571100;29542100;-;314291;4694200;10723200
6971;69;480999;243985;237014;971;48099900;41128900;34157900;-;452208;4997300;11968300
8971;69;618999;313985;305014;971;61899900;52928900;43957900;-;501209;6969300;15940300
9029;69;623001;316015;306986;029;62300100;53271100;44242100;-;37289;7793200;16822200
1493;71;106003;103017;2986;493;3604102;3071101;-;-;10286;455200;988201
1831;71;130001;119015;10986;831;13000100;11169100;-;-;76297;283200;2114200
3169;71;224999;205985;19014;169;22499900;19330900;-;-;4214;2837300;6006300
4493;71;319003;310017;8986;493;10846102;9242101;-;-;134295;516200;2120201
4507;71;319997;310983;9014;507;10879898;9270899;-;-;140212;1163301;2772300
4831;71;343001;314015;28986;831;34300100;29469100;-;-;230293;2148200;6979200
5507;71;390997;379983;11014;507;13293898;11327899;-;-;83210;1333299;2908301
7507;71;532997;517983;15014;507;18121898;15441899;-;-;406203;511301;3191300
8831;71;627001;574015;52986;831;62700100;53869100;-;-;456297;1454200;10285200
0137;73;10001;3014;6987;137;1000100;863100;-;-;7289;76200;213200
0863;73;62999;18986;44013;863;6299900;5436900;-;-;35201;702300;1565300
2137;73;156001;47014;108987;137;15600100;13463100;-;-;107298;1915200;4052200
2411;73;176003;135016;40987;411;5808099;5063100;-;-;159294;270200;1015199
3137;73;229001;69014;159987;137;22900100;19763100;-;-;198289;1776200;4913200
3863;73;281999;84986;197013;863;28199900;24336900;-;-;196201;3182300;7045300
6863;73;500999;150986;350013;863;50099900;43236900;-;-;417201;5722300;12585300
7411;73;541003;415016;125987;411;17853099;15563100;-;-;519288;1942200;4232199
7589;73;553997;424984;129013;589;18281901;15936900;-;-;318206;667300;3012301
8863;73;646999;194986;452013;863;64699900;55836900;-;-;317206;1540300;10403300
9137;73;667001;201014;465987;137;66700100;57563100;-;-;93288;5356200;14493200
2473;74;183002;136015;46987;473;9150100;8005101;-;-;85293;231200;1376199
3527;74;260998;193985;67013;527;13049900;11416899;-;-;185202;1504300;3137301
5527;74;408998;303985;105013;527;20449900;17890899;-;-;185209;920300;3479301
6473;74;479002;356015;122987;473;23950100;20953101;-;-;333294;236199;3712200
8527;74;630998;468985;162013;527;31549900;27601899;-;-;277212;2673299;6621300
9473;74;701002;521015;179987;473;35050100;30664101;-;-;478291;1738200;6124199
0829;76;63004;29015;33989;829;1575100;1352099;-;-;28293;14200;237201
1171;76;88996;40985;48011;171;2224900;1909901;-;-;50200;167300;482299
2671;76;202996;194983;8013;671;5074900;4457899;-;-;133202;603298;1220299
3329;76;253004;243017;9987;329;6325100;5556101;-;-;110289;433202;1202201
3671;76;278996;267983;11013;671;6974900;6126899;-;-;14206;939298;1787299
5171;76;392996;180985;212011;171;9824900;8433901;-;-;56208;1359300;2750299
6329;76;481004;462017;18987;329;12025100;10563101;-;-;279298;1393202;2855201
6829;76;519004;239015;279989;829;12975100;11138099;-;-;144296;1346200;3183201
7829;76;595004;274015;320989;829;14875100;12769099;-;-;400296;1778200;3884201
8171;76;620996;285985;335011;171;15524900;13326901;-;-;203212;685301;2883300
8329;76;633004;608017;24987;329;15825100;13901101;-;-;234294;2333202;4257201
9829;76;747004;344015;402989;829;18675100;16031099;-;-;345292;178199;2822200
0013;77;1001;13;988;013;100100;87100;74100;61100;289;2200;15200
1013;77;78001;1013;76988;013;7800100;6787100;5774100;4761100;293;850200;1863200
1039;77;80003;27014;52989;039;2640099;2347101;1974100;1601099;76293;47201;340199
1987;77;152999;1987;151012;987;15299900;13312900;11325900;9338900;33202;935300;2922300
2039;77;157003;53014;103989;039;5181099;4606101;3874100;3142099;127294;645200;1377201
4013;77;309001;4013;304988;013;30900100;26887100;22874100;18861100;41293;3408200;7421200
4987;77;383999;4987;379012;987;38399900;33412900;28425900;23438900;133202;2397300;7384300
5039;77;388003;131014;256989;039;12804099;11383101;9574100;7765099;148297;1040200;2849201
5987;77;460999;5987;455012;987;46099900;40112900;34125900;28138900;22211;902300;6889300
6961;77;535997;180986;355011;961;17687901;15724899;13225900;10726901;317212;1194298;3157300
7013;77;540001;7013;532988;013;54000100;46987100;39974100;32961100;142293;6026200;13039200
7039;77;542003;183014;358989;039;17886099;15901101;13374100;10847099;52299;756199;3283200
8039;77;619003;209014;409989;039;20427099;18160101;15274100;12388099;381289;775200;3661201
9013;77;694001;9013;684988;013;69400100;60387100;51374100;42361100;471289;1796200;10809200
0859;78;67002;6013;60989;859;3350100;2954101;2491100;-;59296;279200;675199
2141;78;166998;14987;152011;141;8349900;7362899;6208900;-;19204;567300;1554301
9859;78;769002;69013;699989;859;38450100;33905101;28591100;-;295;3293201;7838200
0443;79;34997;3987;31010;443;1154901;1018900;-;-;23208;131300;267301
0557;79;44003;5013;38990;557;1452099;1281100;-;-;24290;204201;375200
1481;79;116999;39987;77012;481;11699900;10218900;-;-;43200;191300;1672300
2557;79;202003;23013;178990;557;6666099;5881100;-;-;124295;546200;1331199
3557;79;281003;32013;248990;557;9273099;8181100;-;-;41296;628201;1720200
4481;79;353999;120987;233012;481;35399900;30918900;-;-;14204;1878300;6359300
4519;79;357001;122013;234988;519;35700100;31181100;-;-;252295;2489200;7008200
5443;79;429997;48987;381010;443;14189901;12518900;-;-;89210;1847299;3518300
5519;79;436001;149013;286988;519;43600100;38081100;-;-;65289;5413200;10932200
5557;79;439003;50013;388990;557;14487099;12781100;-;-;42288;131200;1837199
6481;79;511999;174987;337012;481;51199900;44718900;-;-;137202;1809300;8290300
7481;79;590999;201987;389012;481;59099900;51618900;-;-;420207;5305300;12786300
8443;79;666997;75987;591010;443;22010901;19418900;-;-;535201;1261299;3853300
1321;81;107001;70013;36988;321;10700100;9379100;8058100;-;57291;888200;2209200
4679;81;378999;247987;131012;679;37899900;33220900;28541900;-;101206;1907300;6586300
6679;81;540999;353987;187012;679;54099900;47420900;40741900;-;4207;3123300;9802300
7321;81;593001;388013;204988;321;59300100;51979100;44658100;-;449289;6240200;13561200
9679;81;783999;512987;271012;679;78399900;68720900;59041900;-;93208;5397300;15076300
0061;82;5002;2013;2989;061;250100;222101;-;-;2291;21201;49200
1061;82;87002;35013;51989;061;4350100;3863101;-;-;47288;463200;950199
2939;82;240998;96987;144011;939;12049900;10700899;-;-;4202;1541299;2890300
3061;82;251002;101013;149989;061;12550100;11145101;-;-;29293;727201;2132200
5939;82;486998;195987;291011;939;24349900;21623899;-;-;133211;2461299;5187300
0241;83;20003;13014;6989;241;680102;593101;-;-;5294;21200;108201
1747;83;145001;138013;6988;747;14500100;12753100;-;-;31288;1247200;2994200
1759;83;145997;94986;51011;759;4963898;4328899;-;-;79207;195301;830300
3253;83;269999;256987;13012;253;26999900;23746900;-;-;179207;1093300;4346300
4241;83;352003;229014;122989;241;11968102;10437101;-;-;271296;199199;1730200
4253;83;352999;335987;17012;253;35299900;31046900;-;-;98201;3428300;7681300
4759;83;394997;256986;138011;759;13429898;11711899;-;-;295200;1537299;2860301
7253;83;601999;572987;29012;253;60199900;52946900;-;-;131206;1567300;8820300
7759;83;643997;418986;225011;759;21895898;19094899;-;-;194207;706301;3507300
8747;83;726001;691013;34988;747;72600100;63853100;-;-;480297;34200;8781200
9241;83;767003;499014;267989;241;26078102;22742101;-;-;443290;1820199;5156200
0131;84;11004;3013;7991;131;275100;245101;215102;174099;7292;16200;46199
0631;84;53004;41015;11989;631;1325100;1154099;983098;865101;26293;69201;240202
2131;84;179004;49013;129991;131;4475100;3987101;3499102;2832099;129287;453199;941198
3631;84;305004;236015;68989;631;7625100;6641099;5657098;4978101;220292;467200;1451201
5869;84;492996;134987;358009;869;12324900;10980899;9636898;7799901;348207;747299;2091300
6131;84;515004;141013;373991;131;12875100;11471101;10067102;8148099;200299;1506202;2910201
6869;84;576996;157987;419009;869;14424900;12851899;11278898;9128901;215205;105301;1678302
7369;84;618996;478985;140011;369;15474900;13477901;11480902;10102899;437202;1697301;3694300
8369;84;702996;543985;159011;369;17574900;15306901;13038902;11473899;262200;1693299;3961298
9631;84;809004;626015;182989;631;20225100;17615099;15005098;13204101;141286;1605198;4215199
1153;85;98005;83016;14989;153;1960100;1749101;-;-;54294;287200;498199
1847;85;156995;132984;24011;847;3139900;2801899;-;-;140205;513299;851300
2153;85;183005;155016;27989;153;3660100;3266101;-;-;142291;760202;1154201
3847;85;326995;276984;50011;847;6539900;5835899;-;-;61205;134298;838299
4153;85;353005;299016;53989;153;7060100;6300101;-;-;25291;104198;864197
5153;85;438005;371016;66989;153;8760100;7817101;-;-;62299;665200;1608199
0593;86;50998;34987;16011;593;2549900;2278899;-;-;11201;155300;426301
2593;86;222998;152987;70011;593;11149900;9964899;-;-;41202;894299;2079300
3407;86;293002;201013;91989;407;14650100;13093101;-;-;58293;208201;1765200
3593;86;308998;211987;97011;593;15449900;13807899;-;-;100208;258300;1900301
5407;86;465002;319013;145989;407;23250100;20779101;-;-;76292;314200;2785199
